iter	RMSE
0	14.76259717
1	14.3860063
2	14.00827722
3	13.64119654
4	13.28400561
5	12.96804812
6	12.65704257
7	12.37952063
8	12.09350905
9	11.80230246
10	11.50598452
11	11.27227903
12	11.01128736
13	10.77765544
14	10.53475892
15	10.29428619
16	10.07366302
17	9.859687172
18	9.656115345
19	9.465549182
20	9.301318345
21	9.131651444
22	8.973381091
23	8.808585675
24	8.653432615
25	8.516349557
26	8.38126032
27	8.278155681
28	8.163426636
29	8.038710153
30	7.922123575
31	7.810762192
32	7.70495118
33	7.611172406
34	7.504428976
35	7.408729425
36	7.31864021
37	7.241960269
38	7.16059971
39	7.082648822
40	7.010551457
41	6.934272521
42	6.865960382
43	6.80287749
44	6.739583506
45	6.680094131
46	6.609519368
47	6.551000527
48	6.489542126
49	6.43500919
50	6.379763113
51	6.333147744
52	6.282796136
53	6.240590171
54	6.195174367
55	6.159748372
56	6.123072831
57	6.089723821
58	6.050543716
59	6.021780978
60	5.988262796
61	5.958036302
62	5.929285952
63	5.900505347
64	5.873816533
65	5.843671805
66	5.816118915
67	5.789633342
68	5.768693601
69	5.746061272
70	5.724823715
71	5.70363268
72	5.683020413
73	5.660999789
74	5.636367887
75	5.619894018
76	5.603065273
77	5.584059349
78	5.570194923
79	5.552951533
80	5.535662352
81	5.523850663
82	5.506486342
83	5.490993646
84	5.475652942
85	5.464471826
86	5.449145231
87	5.436270865
88	5.420557801
89	5.409301486
90	5.398022962
91	5.387549884
92	5.378877571
93	5.370193761
94	5.361860201
95	5.352904384
96	5.342319044
97	5.341884089
98	5.330225114
99	5.319099895
100	5.308586391
101	5.297190858
102	5.289336116
103	5.280033724
104	5.271411343
105	5.26384345
106	5.25545374
107	5.246949802
108	5.240571396
109	5.233309849
110	5.226171888
111	5.218017925
112	5.212231445
113	5.202477083
114	5.193029778
115	5.190430527
116	5.184027993
117	5.176151473
118	5.165475062
119	5.160042095
120	5.151554887
121	5.143446231
122	5.136344313
123	5.131158129
124	5.12637516
125	5.122694766
126	5.115157009
127	5.110933307
128	5.104629605
129	5.098632796
130	5.095813251
131	5.09157167
132	5.08627855
133	5.076416539
134	5.07049139
135	5.064867714
136	5.058448113
137	5.054300292
138	5.051875173
139	5.044914529
140	5.039808657
141	5.034907985
142	5.030480349
143	5.025856659
144	5.018938353
145	5.016968903
146	5.012652399
147	5.008852788
148	5.004812678
149	5.000967653
150	4.997740671
151	4.994981015
152	4.990843867
153	4.984639769
154	4.981878786
155	4.974191064
156	4.969079544
157	4.959870659
158	4.954140641
159	4.951949628
160	4.946403685
161	4.941077529
162	4.932354436
163	4.925863156
164	4.922682687
165	4.920055232
166	4.917923524
167	4.914996222
168	4.911136978
169	4.904831244
170	4.899973026
171	4.89553322
172	4.88993709
173	4.886480878
174	4.881251979
175	4.876431855
176	4.872231191
177	4.87018514
178	4.86885578
179	4.865458289
180	4.860652324
181	4.85593298
182	4.853079189
183	4.846288856
184	4.839994268
185	4.836462977
186	4.832436957
187	4.831471717
188	4.827536725
189	4.825363878
190	4.823316017
191	4.820500098
192	4.815284279
193	4.812507229
194	4.805836835
195	4.801727789
196	4.796085408
197	4.790471848
198	4.786878572
199	4.782442413
200	4.778405461
201	4.774489048
202	4.772786418
203	4.769334165
204	4.7663146
205	4.762378812
206	4.760612469
207	4.75475991
208	4.752621907
209	4.74880238
210	4.744100019
211	4.740838599
212	4.739203749
213	4.736148669
214	4.734620216
215	4.73004327
216	4.728448263
217	4.725179001
218	4.720269013
219	4.718774177
220	4.714116273
221	4.70937664
222	4.705208132
223	4.702209793
224	4.698743443
225	4.69535014
226	4.692109542
227	4.690696891
228	4.685387035
229	4.682562256
230	4.679031083
231	4.676730037
232	4.676229769
233	4.674508262
234	4.671478975
235	4.668765618
236	4.664756207
237	4.663242529
238	4.661440843
239	4.660981343
240	4.654796314
241	4.652553376
242	4.650796105
