iter	Passed	Remaining
0	154	154804
1	156	78071
2	157	52397
3	162	40509
4	164	32819
5	166	27572
6	167	23764
7	168	20907
8	170	18737
9	171	16958
10	172	15514
11	173	14317
12	177	13457
13	178	12566
14	179	11763
15	179	11066
16	180	10446
17	181	9904
18	182	9408
19	182	8964
20	183	8561
21	184	8190
22	185	7887
23	192	7837
24	194	7571
25	195	7309
26	195	7060
27	196	6825
28	197	6606
29	197	6400
30	198	6207
31	199	6028
32	199	5856
33	200	5699
34	203	5615
35	205	5495
36	206	5372
37	207	5249
38	207	5125
39	208	5005
40	209	4892
41	209	4785
42	210	4681
43	210	4584
44	211	4492
45	213	4432
46	214	4353
47	215	4276
48	219	4257
49	220	4189
50	221	4116
51	221	4045
52	222	3975
53	223	3908
54	223	3843
55	224	3781
56	224	3720
57	225	3663
58	226	3610
59	227	3559
60	227	3505
61	228	3453
62	228	3402
63	229	3352
64	229	3304
65	230	3265
66	232	3232
67	233	3202
68	234	3167
69	235	3127
70	236	3089
71	236	3051
72	237	3014
73	237	2977
74	238	2942
75	239	2907
76	239	2873
77	240	2840
78	241	2811
79	241	2780
80	242	2748
81	242	2716
82	243	2686
83	243	2656
84	244	2628
85	244	2600
86	245	2575
87	246	2558
88	248	2547
89	249	2525
90	250	2501
91	250	2477
92	251	2454
93	252	2430
94	252	2406
95	253	2384
96	253	2361
97	253	2336
98	254	2314
99	254	2293
100	255	2273
101	255	2253
102	256	2233
103	257	2214
104	257	2195
105	258	2176
106	258	2157
107	259	2139
108	259	2121
109	260	2104
110	260	2090
111	262	2080
112	263	2069
113	265	2061
114	265	2045
115	266	2027
116	266	2013
117	267	1998
118	268	1984
119	268	1969
120	269	1955
121	269	1941
122	270	1929
123	271	1916
124	272	1905
125	272	1892
126	273	1878
127	273	1865
128	274	1852
129	274	1839
130	275	1827
131	276	1819
132	278	1813
133	279	1804
134	279	1793
135	280	1782
136	281	1771
137	281	1760
138	282	1749
139	283	1738
140	283	1728
141	284	1717
142	285	1708
143	286	1700
144	286	1690
145	286	1678
146	287	1668
147	287	1657
148	288	1647
149	288	1637
150	289	1627
151	289	1617
152	290	1609
153	292	1604
154	293	1600
155	294	1592
156	295	1584
157	295	1576
158	296	1567
159	297	1559
160	297	1551
161	298	1542
162	298	1534
163	299	1526
164	300	1518
165	300	1511
166	301	1504
167	302	1496
168	302	1488
169	303	1480
170	303	1472
171	304	1464
172	304	1456
173	305	1449
174	306	1446
175	308	1443
176	309	1438
177	310	1431
178	310	1424
179	311	1417
180	312	1412
181	312	1406
182	313	1399
183	314	1393
184	314	1387
185	315	1381
186	316	1377
187	317	1370
188	317	1363
189	318	1357
190	318	1350
191	319	1343
192	319	1336
193	320	1331
194	321	1329
195	323	1326
196	324	1322
197	325	1316
198	325	1311
199	326	1305
200	326	1299
201	327	1294
202	328	1288
203	328	1283
204	329	1279
205	331	1278
206	332	1274
207	333	1269
208	334	1264
209	334	1259
210	335	1255
211	339	1263
212	341	1260
213	342	1256
214	342	1251
215	343	1247
216	344	1242
217	345	1238
218	345	1233
219	346	1228
220	347	1223
221	347	1218
222	348	1212
223	348	1207
224	349	1202
225	349	1197
226	350	1192
227	351	1188
228	352	1185
229	353	1181
230	353	1178
231	354	1174
232	355	1169
233	355	1164
234	356	1160
235	357	1156
236	357	1151
237	358	1147
238	358	1142
239	359	1138
240	360	1133
241	360	1129
242	361	1125
243	361	1120
244	362	1116
245	362	1111
246	363	1107
247	363	1102
248	364	1098
249	364	1094
250	365	1090
251	366	1089
252	368	1087
253	369	1084
254	370	1081
255	370	1077
256	371	1073
257	371	1069
258	372	1065
259	372	1061
260	373	1057
261	373	1052
262	374	1048
263	374	1044
264	375	1040
265	375	1036
266	376	1032
267	376	1028
268	377	1025
269	377	1021
270	378	1017
271	378	1014
272	379	1010
273	380	1006
274	380	1004
275	382	1002
276	383	1000
277	384	997
278	384	994
279	385	990
280	385	987
281	386	984
282	387	981
283	388	978
284	388	974
285	389	971
286	389	967
287	390	964
288	390	961
289	391	957
290	391	954
291	392	950
292	392	947
293	393	943
294	393	940
295	394	937
296	394	934
297	395	930
298	396	928
299	396	926
300	397	923
301	398	920
302	398	917
303	399	914
304	399	911
305	400	908
306	400	905
307	401	901
308	401	898
309	402	895
310	402	892
311	403	889
312	403	886
313	404	883
314	404	880
315	405	877
316	405	874
317	406	871
318	406	868
319	407	865
320	408	863
321	408	860
322	409	857
323	409	854
324	410	851
325	410	849
326	411	847
327	412	845
328	413	843
329	414	840
330	414	838
331	415	835
332	415	832
333	416	830
334	416	827
335	417	824
336	417	822
337	418	819
338	418	816
339	419	813
340	419	811
341	420	808
342	420	805
343	421	803
344	421	800
345	422	798
346	422	795
347	423	793
348	423	790
349	424	787
350	424	785
351	425	782
352	425	780
353	426	778
354	427	776
355	428	774
356	428	771
357	428	769
358	429	766
359	429	764
360	430	761
361	430	759
362	431	756
363	431	754
364	432	752
365	432	749
366	433	747
367	433	745
368	434	742
369	434	740
370	435	738
371	435	735
372	436	733
373	436	731
374	437	728
375	437	726
376	438	723
377	438	721
378	439	719
379	439	717
380	440	715
381	440	713
382	441	711
383	442	709
384	442	707
385	443	705
386	443	703
387	444	700
388	444	698
389	445	696
390	445	694
391	446	692
392	446	690
393	447	687
394	447	685
395	448	683
396	448	681
397	449	679
398	449	677
399	450	675
400	450	673
401	451	671
402	451	669
403	452	667
404	452	665
405	453	662
406	453	660
407	454	658
408	454	656
409	455	654
410	455	653
411	456	651
412	457	649
413	457	647
414	458	646
415	458	644
416	459	642
417	459	640
418	460	638
419	460	636
420	461	634
421	461	632
422	462	630
423	462	628
424	463	626
425	463	624
426	464	622
427	464	621
428	465	619
429	466	618
430	467	616
431	468	615
432	468	613
433	469	611
434	469	609
435	470	608
436	470	606
437	471	605
438	472	603
439	473	602
440	473	600
441	474	598
442	474	596
443	475	595
444	475	593
445	476	591
446	476	589
447	477	587
448	477	586
449	478	584
450	478	582
451	479	580
452	479	579
453	480	577
454	480	576
455	481	574
456	481	572
457	482	570
458	482	569
459	483	567
460	483	565
461	484	563
462	484	562
463	485	560
464	486	559
465	486	557
466	487	556
467	488	555
468	489	553
469	489	552
470	490	550
471	490	549
472	491	547
473	492	546
474	492	544
475	493	542
476	493	541
477	494	539
478	494	537
479	495	536
480	495	534
481	496	533
482	496	531
483	496	529
484	497	528
485	497	526
486	498	525
487	498	523
488	499	521
489	499	520
490	500	518
491	501	517
492	502	517
493	503	515
494	504	514
495	505	513
496	506	512
497	506	510
498	507	509
499	507	507
500	508	506
501	509	505
502	509	503
503	510	502
504	511	501
505	511	499
506	512	498
507	512	496
508	513	495
509	513	493
510	514	492
511	514	490
512	515	489
513	516	487
514	516	486
515	517	485
516	518	484
517	518	482
518	519	481
519	520	480
520	520	478
521	521	477
522	521	476
523	522	474
524	523	473
525	523	471
526	524	470
527	524	469
528	525	467
529	526	466
530	526	465
531	527	464
532	528	462
533	528	461
534	529	459
535	529	458
536	530	457
537	530	455
538	531	454
539	532	453
540	533	452
541	533	450
542	534	449
543	534	448
544	535	446
545	535	445
546	536	444
547	536	442
548	537	441
549	537	440
550	538	438
551	538	437
552	539	436
553	539	434
554	540	433
555	540	431
556	541	430
557	541	429
558	542	427
559	542	426
560	543	425
561	543	423
562	544	422
563	544	421
564	545	419
565	545	418
566	546	417
567	547	416
568	547	415
569	548	413
570	548	412
571	549	411
572	549	409
573	550	408
574	550	407
575	551	405
576	552	404
577	552	403
578	553	402
579	553	400
580	554	399
581	554	398
582	555	397
583	555	395
584	556	394
585	556	393
586	557	391
587	557	390
588	558	389
589	558	388
590	559	386
591	559	385
592	560	384
593	560	383
594	560	381
595	561	380
596	562	379
597	563	378
598	563	377
599	564	376
600	564	374
601	565	373
602	565	372
603	566	371
604	567	370
605	567	369
606	568	367
607	568	366
608	569	365
609	569	364
610	570	363
611	570	361
612	571	360
613	571	359
614	572	358
615	572	357
616	573	355
617	573	354
618	574	353
619	574	352
620	575	350
621	575	349
622	576	348
623	576	347
624	577	346
625	578	345
626	579	344
627	579	343
628	580	342
629	581	341
630	581	340
631	582	339
632	582	337
633	583	336
634	583	335
635	584	334
636	584	333
637	585	332
638	585	330
639	586	329
640	586	328
641	587	327
642	587	326
643	588	325
644	588	324
645	589	322
646	589	321
647	590	320
648	590	319
649	591	318
650	592	317
651	593	316
652	593	315
653	594	314
654	594	313
655	595	312
656	595	311
657	596	309
658	596	308
659	597	307
660	597	306
661	598	305
662	598	304
663	599	303
664	599	302
665	600	301
666	600	299
667	601	298
668	601	297
669	602	296
670	602	295
671	603	294
672	603	293
673	604	292
674	604	291
675	605	290
676	605	289
677	606	288
678	607	287
679	608	286
680	608	285
681	609	284
682	610	283
683	610	282
684	611	281
685	611	280
686	612	278
687	612	277
688	613	276
689	613	275
690	614	274
691	614	273
692	615	272
693	615	271
694	616	270
695	616	269
696	617	268
697	617	267
698	618	266
699	618	265
700	619	264
701	619	263
702	620	262
703	621	261
704	622	260
705	624	260
706	625	259
707	625	258
708	626	257
709	626	255
710	627	254
711	627	253
712	628	252
713	628	251
714	629	250
715	629	249
716	630	248
717	630	247
718	631	246
719	631	245
720	632	244
721	632	243
722	633	242
723	633	241
724	634	240
725	634	239
726	635	238
727	635	237
728	636	236
729	636	235
730	637	234
731	638	233
732	638	232
733	639	231
734	639	230
735	640	229
736	640	228
737	641	227
738	641	226
739	642	225
740	642	224
741	643	223
742	643	222
743	644	221
744	644	220
745	645	219
746	645	218
747	646	217
748	646	216
749	647	215
750	647	214
751	648	213
752	648	212
753	649	211
754	649	210
755	650	209
756	650	208
757	651	207
758	651	207
759	653	206
760	653	205
761	654	204
762	654	203
763	655	202
764	655	201
765	656	200
766	656	199
767	657	198
768	657	197
769	658	196
770	658	195
771	659	194
772	659	193
773	660	192
774	660	191
775	661	190
776	661	189
777	662	188
778	662	188
779	663	187
780	663	186
781	664	185
782	664	184
783	665	183
784	665	182
785	666	181
786	666	180
787	667	179
788	668	178
789	669	177
790	670	177
791	670	176
792	671	175
793	672	174
794	672	173
795	673	172
796	674	171
797	674	170
798	675	169
799	675	168
800	676	168
801	676	167
802	677	166
803	677	165
804	678	164
805	678	163
806	679	162
807	679	161
808	680	160
809	680	159
810	681	158
811	681	157
812	682	156
813	682	156
814	683	155
815	684	154
816	684	153
817	685	152
818	685	151
819	686	150
820	686	149
821	687	148
822	687	147
823	688	147
824	688	146
825	689	145
826	689	144
827	690	143
828	690	142
829	691	141
830	691	140
831	692	139
832	692	138
833	693	138
834	693	137
835	694	136
836	694	135
837	695	134
838	695	133
839	696	132
840	696	131
841	697	130
842	698	130
843	698	129
844	699	128
845	700	127
846	700	126
847	701	125
848	701	124
849	702	123
850	702	123
851	703	122
852	703	121
853	704	120
854	704	119
855	705	118
856	705	117
857	706	116
858	706	115
859	707	115
860	707	114
861	708	113
862	708	112
863	708	111
864	709	110
865	709	109
866	710	108
867	710	108
868	711	107
869	711	106
870	712	105
871	713	104
872	714	103
873	714	103
874	715	102
875	715	101
876	716	100
877	716	99
878	717	98
879	717	97
880	718	97
881	718	96
882	719	95
883	719	94
884	720	93
885	720	92
886	721	91
887	721	91
888	722	90
889	722	89
890	723	88
891	723	87
892	724	86
893	724	85
894	725	85
895	725	84
896	726	83
897	726	82
898	727	81
899	728	80
900	729	80
901	729	79
902	730	78
903	730	77
904	731	76
905	731	75
906	732	75
907	732	74
908	733	73
909	734	72
910	734	71
911	735	70
912	735	70
913	736	69
914	736	68
915	737	67
916	737	66
917	738	65
918	738	65
919	739	64
920	739	63
921	740	62
922	740	61
923	741	60
924	741	60
925	742	59
926	744	58
927	745	57
928	746	57
929	747	56
930	748	55
931	748	54
932	749	53
933	749	52
934	750	52
935	750	51
936	751	50
937	751	49
938	752	48
939	752	48
940	753	47
941	754	46
942	754	45
943	755	44
944	755	43
945	756	43
946	756	42
947	757	41
948	758	40
949	759	39
950	760	39
951	761	38
952	761	37
953	762	36
954	762	35
955	763	35
956	764	34
957	764	33
958	765	32
959	766	31
960	766	31
961	767	30
962	767	29
963	768	28
964	768	27
965	769	27
966	769	26
967	770	25
968	770	24
969	771	23
970	772	23
971	773	22
972	774	21
973	774	20
974	775	19
975	776	19
976	776	18
977	777	17
978	777	16
979	778	15
980	778	15
981	779	14
982	780	13
983	780	12
984	781	11
985	781	11
986	782	10
987	782	9
988	783	8
989	783	7
990	784	7
991	784	6
992	785	5
993	786	4
994	786	3
995	787	3
996	787	2
997	788	1
998	789	0
999	789	0
